Source,Target,Type,Kind,Id,Label,timeset,Weight
1267825199472205825,https://www.24newshd.tv/02-Jun-2020/klopp-s-passion-restored-as-english-football-nears-return,Directed,Has_link,1186,,<[2020-06-02T18:21:41.197Z]>,1
1267825199472205825,http://pbs.twimg.com/media/EZg4TAQVcAsBOkc.jpg,Directed,Has_media,1187,,<[2020-06-02T18:21:41.197Z]>,1
@24newshdsports,@24newshd,Directed,Retweets_from,1188,,<[2020-06-02T18:21:41.197Z]>,1
@24newshdsports,1267825199472205825,Directed,Retweets,1189,,<[2020-06-02T18:21:41.197Z]>,1
@mickeyvins0n,1267884082664480769,Directed,Tweets,1190,,<[2020-06-02T18:21:41.271Z]>,1
@mickeyvins0n,@dalevince,Directed,Retweets_from,1191,,<[2020-06-02T18:21:41.272Z]>,1
@mickeyvins0n,1267818401965064196,Directed,Retweets,1192,,<[2020-06-02T18:21:41.272Z]>,1
@lps_pic_perfect,1267884084593938435,Directed,Tweets,1193,,<[2020-06-02T18:21:41.709Z]>,1
@lps_pic_perfect,@thetweetofgod,Directed,Retweets_from,1194,,<[2020-06-02T18:21:41.709Z]>,1
@lps_pic_perfect,1266227735501762560,Directed,Retweets,1195,,<[2020-06-02T18:21:41.709Z]>,1
@lilkellyy,1267884086577815552,Directed,Tweets,1196,,<[2020-06-02T18:21:42.325Z]>,1
1267884086577815552,@gwl3dgxkvgzfksw,Directed,Has_mention,1197,,<[2020-06-02T18:21:42.325Z]>,1
@_jbaby11,1267884089522208768,Directed,Tweets,1198,,<[2020-06-02T18:21:42.947Z]>,1
@thomasrp93,1267834074787450883,Directed,Tweets,1199,,<[2020-06-02T18:21:42.948Z]>,1
@_jbaby11,@thomasrp93,Directed,Retweets_from,1200,,<[2020-06-02T18:21:42.948Z]>,1
@_jbaby11,1267834074787450883,Directed,Retweets,1201,,<[2020-06-02T18:21:42.948Z]>,1
@jimtravers6,1267884091363463168,Directed,Tweets,1202,,<[2020-06-02T18:21:43.346Z]>,1
1267884091363463168,https://www.theguardian.com/football/2020/jun/02/newcastles-deandre-yedlin-feels-us-is-an-unsafe-place-for-a-young-black-man?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1591121829,Directed,Has_link,1203,,<[2020-06-02T18:21:43.346Z]>,1
@guardian,1267882966459584514,Directed,Tweets,1204,,"<[2020-06-02T18:21:43.346Z, 2020-06-02T18:21:46.624Z, 2020-06-02T18:21:59.368Z, 2020-06-02T18:22:17.226Z, 2020-06-02T18:22:30.053Z]>",1
