Source,Target,Type,Kind
@rhammer,1267878787833892864,Directed,Tweets
@nickbaumgardner,1267876773150232577,Directed,Tweets
1267876773150232577,https://twitter.com/thegrantperry/status/1267871967677480960,Directed,Has_link
@thegrantperry,1267871967677480960,Directed,Tweets
1267871967677480960,"#equality",Directed,Has_hashtag
1267871967677480960,"#unity",Directed,Has_hashtag
1267871967677480960,"#love",Directed,Has_hashtag
1267871967677480960,http://pbs.twimg.com/media/EZhi1UUXkAY8yUt.jpg,Directed,Has_media
@nickbaumgardner,@thegrantperry,Directed,Quotes_from
@nickbaumgardner,1267871967677480960,Directed,Quotes
@rhammer,@nickbaumgardner,Directed,Retweets_from
@rhammer,1267876773150232577,Directed,Retweets
@rhammer,@thegrantperry,Directed,Quotes_from
@rhammer,1267871967677480960,Directed,Quotes
@matiastrulita,1267878788660068352,Directed,Tweets
@matiastrulita,@tycsports,Directed,Retweets_from
@matiastrulita,1267856243869261826,Directed,Retweets
@scottkynnersley,1267878790031716352,Directed,Tweets
@wearethefsa,1267810730738282498,Directed,Tweets
1267810730738282498,@ashbeen23,Directed,Has_mention
1267810730738282498,@soccerex,Directed,Has_mention
1267810730738282498,https://thefsa.org.uk/news/where-does-football-go-now/,Directed,Has_link
@scottkynnersley,@wearethefsa,Directed,Retweets_from
@scottkynnersley,1267810730738282498,Directed,Retweets
@15bshall97,1267878790392360960,Directed,Tweets
@15bshall97,@nickbaumgardner,Directed,Retweets_from
@15bshall97,1267876773150232577,Directed,Retweets
@15bshall97,@thegrantperry,Directed,Quotes_from
@15bshall97,1267871967677480960,Directed,Quotes
